tweet_id,retweet_count,favorite_count
791821351946420224,19729,0
791784077045166082,8913,0
791780927877898241,3562,0
791774931465953280,20787,42796
791672322847637504,2931,11159
791406955684368384,3861,12495
791312159183634433,2368,8326
791026214425268224,3820,0
790987426131050500,1992,9314
790946055508652032,4394,15871
790723298204217344,2147,0
790698755171364864,1808,7808
790581949425475584,6653,19580
790337589677002753,1770,7422
790277117346975746,2959,11904
790227638568808452,3315,0
789986466051088384,2147,8803
789960241177853952,3840,0
789903600034189313,3889,9790
789628658055020548,1651,7086
789599242079838210,1797,6379
789530877013393408,3161,11096
789314372632018944,2140,8205
789280767834746880,4594,0
789268448748703744,2450,8671
789137962068021249,2609,9228
788908386943430656,11719,26094
788765914992902144,9672,25905
788552643979468800,6670,0
788412144018661376,4931,14730
788178268662984705,1981,6905
788150585577050112,1202,5803
788070120937619456,3217,0
788039637453406209,1231,5796
787810552592695296,2842,8159
787717603741622272,2588,9709
787397959788929025,2670,10338
787322443945877504,1628,7395
787111942498508800,6302,0
786963064373534720,7435,25297
786729988674449408,2276,0
786709082849828864,5735,17365
786664955043049472,2366,10055
786595970293370880,2921,8974
786363235746385920,3222,10287
786286427768250368,2650,7566
786233965241827333,4384,14406
786051337297522688,148,1355
786036967502913536,6506,0
785927819176054784,2992,10821
785872687017132033,1674,6347
785639753186217984,2106,7463
785533386513321988,1843,8593
785515384317313025,1166,5799
785264754247995392,1520,6911
785170936622350336,4503,11385
784826020293709826,3013,9577
